Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Contact Number of Internship Supervisor,Work Email of Internship Supervisor,Workplace Address,What is the project's research category?,Area of Discipline(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abusive multi-modal content detection from online sites,"Social media platforms are trying to keep their users from abusive contents, including hate speech and harassment. The project’s topic is to detect abusive multi-modal (text+image) contents from online sites. This topic is challenging because it has to combine text information with visual information for the detection, where the text alone or the image alone may not be abusive, but two together express abuse. We will test the winner codes of the past challenge and try to improve them further by replacing their models with the latest models and optimizing them.",Learn about natural language processing and visual analysis and about multi-modal data analytics (text+image),"Programming, evaluation, report","Deep learning (esp. Pytorch); preferably, natural language processing and visual analysis","Pre-processing the challenge dataset, testing the winners’ codes, replacing and evaluating language models with the latest ones, system optimization with parameter tuning, and if time allows, trying to improve the methods",I2R,Machine Intellection,Jung-jae Kim,+6582184122,jjkim@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01 Connexis, Singapore 138632",Computing & Information Sciences,Computing & Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI approach for cancer spatial immunology study,Pioneering advanced AI methods to address complex cancer challenges through deep learning models and integrating optimal algorithms into a robust workflow. This entails the analysis of diverse advanced spatial omics data.,"1, They can gain hands-on experience in data analysis, computational modelling, and statistical techniques relevant to biological data.
2. They can develop proficiency in analyzing large-scale biological datasets and interpret the results and draw meaningful conclusions from complex biological data
3. They can enhance their coding skills in Python/R and develop algorithms.
4. They learn how to navigate various bioinformatics databases, resources, and tools.
5. Interns have opportunities to present their research findings.","1.	Organizing their time well
2.	Updating work progress on weekly basis
3.	Reading papers to learn about AI approaches for spatial immunology
4.	Resourcing for software packages when necessary
5.	Maintaining a positive learning attitude","1.	Programming skill, deep learning/ image processing skill will be a plus
2.	Problem solving skill
3.	Fundamental knowledge of biology/ immunology","1.	Perform literature review to study the state-of-art deep learning approaches for gene/marker prediction from histological images, or AI methods for multi spatial-omics analysis
2.	Implement and evaluate the methods using in-house cancer patient data (liver or colorectal cancer samples)
3.	Optimize and enhance the methods
4.	Build an end-to-end workflow by incorporating data loading, cleaning, normalization, AI models, and visualization (this step is optional, depending on the progress of the students)",BII,Biomedical data hub,Lau Mai Chan,6592348170,lau_mai_chan@bii.a-star.edu.sg,Bioinformatics Institute 30 Biopolis Street #07-01 Matrix Singapore 138671,Biomedical Sciences,Biomedical sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI diagnosis of ring-enhancing brain lesions (REBL),"Ring-enhancing Brain Lesion is a type of lesion in the brain with a phenotype of enhanced ring in MRI T1 plus contrast scans. The cause of REBL can be due to bacteria infection, cancers or for other reasons. REBL can be extremely dangerous and patients can die within days. The treatment choice for REBL depends on the cause of REBL. A wrong diagnosis will lead to delayed treatment and therefore can result in the death of the patient. In this project, we will use AI to analyse MRI scans to predict the cause of REBL. The MRI scans used includes, T1, T2, T1+contrast, T2-flair, SWI, diffusion.",In this project we collaborate with the radiology and infectious disease departments in the Singapore General Hospital. The students are expected to learn AI skills as well as how to understand MRI scans to the level that enables the students to effectively use AI on radiology.,Use AI packages for the analysis of REBL. Help with annotations of MRI scans.,Knowledge of python coding.,"Perform data preparation, including annotations.
Use AI packages for the analysis of REBL
Python coding to organise data and feed data into AI models",BII,Cellular Image Informatics,Lee Hwee Kuan,6597378178,leehk@bii.a-star.edu.sg,"30 Biopolis Street, Matrix level 7",Computing & Information Sciences,Applied Mathematics;Bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI driven diagnosis for Pneumonitis & Pneumonia,"Using AI to analyse lung CT scans of Pneumonitis and Pneumonia. Cancer patients often present with lung lesions and have difficulties in breathing. Treatment following this presentation depends on the diagnosis of Pneumonitis or Pneumonia. A wrong diagnosis leads to improper treatments. In this project, we propose to us AI analysis for improved diagnosis.",Students will learn (1) the basics of AI technologies (2) Biomedical knowledge on the disease that they use AI for (3) how to apply AI technologies for helping patients.,"1. Code and implement AI algorithms
2. Generate new ideas for algorithm developments
3. Frequent reporting of results and communicate ideas clearly
4. Work in a team and work with clinicians","(1)	Coding and implementing AI algorithms.
(2)	Help with clinical data preparation and data engineering","The student will need to learn basic biomedical knowledge related to their project. 
The student will need to code out AI models for the given tasks.
The student will need to prepare the clinical data and perform data engineering work
The student will need to run experiments, troubleshoot and come up with new ideas to overcome challenges.",BII,Computer Vision and Pattern Discovery for Bioimages,Lee Hwee Kuan,6597378178,leehk@bii.a-star.edu.sg,"30 Biopolis Street, #07-01 Matrix, S138671",Biomedical Sciences,Bioscience & Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI driven diagnosis for Ring Enhancement Brain Lesion,"Patients of compromised immune system, often presents with brain lesions that can be deadly within a few days. These brain lesions under MRI scans shows ring enhancement patterns. Correct diagnosis for these brain lesions is important because a correct use of medication can effectively treat the patients.  We propose to use AI technologies for accurate diagnosis of brain lesions.",Students will learn (1) the basics of AI technologies (2) Biomedical knowledge on the disease that they use AI for (3) how to apply AI technologies for helping patients.,"1. Implement ideas into pytorch / Keras / TensorFlow deep learning platform
2. Generate new ideas and troubleshoot numerical errors","(1)	Coding and implementing AI algorithms.
(2)	Help with clinical data preparation and data engineering","The student will need to learn basic biomedical knowledge related to their project. 
The student will need to code out AI models for the given tasks.
The student will need to prepare the clinical data and perform data engineering work.
The student will need to run experiments, troubleshoot and come up with new ideas to overcome challenges.",BII,Computer Vision and Pattern Discovery for Bioimages,Lee Hwee Kuan,6597378178,leehk@bii.a-star.edu.sg,"30 Biopolis Street, #07-01 Matrix, S138671",Biomedical Sciences,Bioscience & Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI enhanced non-invasive medical imaging,Current medical imaging systems such as optical coherence tomography angiography suffer from speckle noise and lead to low image quality. The aim of this project is to develop an AI based approach for enhanced imaging.,The student would be able to learn the latest AI algorithms and models as well as their applications in medical imaging.,Develop AI algorithms and models for enhanced imaging under the supervision of project PI.,"deep learning, python, pytorch","Process the data from collaborators;
Develop deep learning algorithms;
Report the results;",I2R,Machine Intellection,Cheng Jun,+6581237664,cheng_jun@i2r.a-star.edu.sg,"1 Fusionopolis Way, 21-01, 138632",Computing & Information Sciences,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI for materials design,"AI for materials design is an emerging field leveraging data science and machine learning (ML) methods to accelerate the development of new materials (e.g., lightweight and strong alloys for aerospace applications).
The student will help to develop ML models to predict the properties of materials. Material properties (e.g., strength, ductility) are determined by the composition and the arrangements of atoms, so the goal is to construct ML models that map composition and atomic arrangements to properties.",The student will obtain first-hand research experience in the emerging field of AI for materials design. The student will develop expertise in constructing machine learning models to predict the properties of materials.,"The student will work closely with computational materials scientists in A*STAR to develop machine learning models to predict the properties of materials. At the end of the internship, the student will provide documented codes and a report detailing his/her research findings so that the project can be incorporated into A*STAR’s in-house platform for accelerated materials development.","Familiarity with Python or a similar programming language, so as to implement standard ML algorithms, such as those in scikit-learn. Familiarity with basic concepts in machine learning is preferred. Background in physical sciences or engineering is preferred.","The project involves exploratory research. The ML problem is a non-linear regression, but the specific ML methods used will depend on the student's interests and familiarity. The student will be taught sufficient materials science to understand the datasets that we will provide. The focus would be on ML method development and application, including feature engineering. At the end of the internship, the student will provide documented codes and a report detailing his/her research findings so that the project can be incorporated into A*STAR’s in-house platform for accelerated materials development.",IHPC,Materials Science & Chemistry,Leong Zhidong,6587533154,leong_zhidong@ihpc.a-star.edu.sg,1 Fusionopolis Way #16-16 Connexis (North Tower) Singapore 138632,Engineering & Technology,Materials Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI for novel meta-material design and manufacturing,The project is to use AI and machine learning tool to assist development of a novel material constitutive model of metal materials and establish a database covering popular metals in real-life industry applications. The project work scope is as below: (1) Data mining from literatures and public database;  (2) Implement Graphic Neural Network (GNN) or other model for designing novel meta-material; (3) Developing AI/ML to identify the effective material properties from scope (1) & (2); (4) Develop AI/ML assisted toolbox for toolpath planning of the additively manufacturing process.,"Student will understand how to use data mining technique, AI/Machine learning to solve practical engineering problems. Student will understand how to use machine learning approach to calibrating the material properties from experiment and simulation data . Student will understand how to use machine learning approach to calibrating the material properties from experiment and simulation data.","Student will perform literature review, carry out data mining from the literatures and public database to achieve useful data, develop python code, implement machine learning to calibrate the material parameters, complete the project scope.","Machine Learning, Data Analysis, Computational Geometry, Python Code Development","Student will perform literature review, carry out data mining from the literatures and public database to achieve useful data, develop python code, implement machine learning to complete the project scope.",IHPC,Engineering Mechanics,Zhang Zhiqian,6590993973,zhangz@ihpc.a-star.edu.sg,"Engineering Mechanics Department, Institute of High Performance Computing, A*STAR Research Entities, 1 Fusionopolis Way,  #16-16 Connexis, Singapore 138632",Engineering & Technology,Aerospace Engineering;Bioengineering ;Environmental Engineering;Manufacturing Engineering;Materials Engineering;Mechanical Engineering;Production & process Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://make.powerautomate.com/environments/default-a2c8f93f-126b-4596-a360-8941a8984b08/approvals/received/3e3de1f4-c40e-4bb8-a6d1-54a0d837defb?loginTenant=a2c8f93f-126b-4596-a360-8941a8984b08
AI for Waste & Energy Management,"The project will focus on developing and applying AI-based approaches to reduce waste, optimize energy consumption and enhance the sustainability of manufacturing and building. Specifically, the project will explore the potential of AI for energy-efficient control and waste reduction in manufacturing and building systems. In addition, the project will investigate the potential application to industrial park for waste and energy management, particularly in the context of circular economy and resource efficiency","1. AI skills
2. Apply AI  to Waste & Energy Management in Manufacturing/Building",1. Apply AI to Waste & Energy Management in Manufacturing/Building,"1. Python programming
2. Basic knowledge on machine learning","1. Programming for Prototype System
2. Apply AI to Waste & Energy Management in Manufacturing/Building",SIMTech,SLCM,SUN YAJUAN,6591528061,sun_yajuan@simtech.a-star.edu.sg,"2 Fusionopolis Way, Innovis, Singapore 138634",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI model for tissue-based gene expression prediction,"Objective: to develop a hepatocellular carcinoma (HCC)-specific deep learning (DL) model which can predict gene expression in the tissue space from routine H&E images, enabling spatial gene analysis to be performed using low-cost and widely available H&E images

Approach: re-implement, re-train, and optimize the performance of existing DL models, particularly ST-net and HisToGene, using the (10x Genomics) Visium data generated from HCC patient tissues. Visium data provides the ground-truth (data labels) of spatially resolved gene expression along with the H&E image.","•	Knowledge of cancer immunology
•	Knowledge of biomedical image processing
•	Knowledge of advanced spatial omics technology
•	Hands-on experience with real-world biomedical (image) data
•	Deep learning modelling skill
•	Interdisciplinary research experience","•	Organizing their time well
•	Updating work progress on weekly basis
•	Reading papers to learn about DL optimization strategies
•	Resourcing for software packages when necessary
•	Maintaining a positive learning attitude","•	Programming skill, deep learning/ image processing skill will be a plus
•	Problem solving skill
•	Fundamental knowledge of biology/ immunology","•	Re-implementation of ST-net and HisToGene using data of the published work
•	Re-train and evaluate the performance of ST-net and HisToGene using in-house HCC Visium data, and select the better model
•	Optimize the selected model
•	Apply the optimized model on public H&E images of HCC (TCGA)",BII,Biomedical data hub,Mai Chan LAU,6592348170,lau_mai_chan@bii.a-star.edu.sg,Bioinformatics Institute 30 Biopolis Street #07-01 Matrix Singapore 138671,Biomedical Sciences,Biomedical sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
